Name,Total-Rate,Worth-Ratio,Phone,City,Region,Street,Quality-Rate,Service-Rate,Decoration-Rate,free internet,hookah,cigarettes,parking-lot,Pose,Free-Delivery,View,BreakFast,Outdoor,Live-Music,Sum-Of-Featurs,Time-Open,Time-Close
کاویچ,0,0,9125062720,تهران,اندرزگو,بعد از کاوه به سمت شرق,0,0,0,0,0,0,0,1,0,0,1,0,0,2,9:00,24:00:00
کارنو,0,0,2172487,تهران,سعادت آباد,"خیابان سرو غربی،خیابان بخشایش خیابان نوزده شمالی،برج عرفان،طبقه همکف",0,0,0,0,0,0,0,1,1,0,0,1,0,3,11:30,24:00:00
کتاب (نیاوران),0,0,2122285969,تهران,خیابان باهنر,مجموعه کتاب نیاوران,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12:00,24:00:00
لوتوس,0,0,2126126906,تهران,خیابان باهنر," روبروی جماران، طبقه 1،",0,0,0,0,0,0,0,1,1,0,0,0,0,2,12:00,24:00:00
پگاه,0,0,9107898308,تهران,خیابان انقلاب,"خیابان خارک،بن بست داوری پلاک ۳",0,0,0,0,0,0,0,1,0,0,1,0,0,2,9:00,24:00:00
اُشو,0,0,9351138068,تهران,میدان تجریش," ابتدای خیابان ولیعصر، جنب بانک کشاورزی",0,0,0,0,0,0,0,1,0,0,1,0,0,2,10:00,24:00:00
د وان (سعادت آباد),0,0,2188581309,تهران,سعادت آباد," پایین تر از میدان کاج، کوچه حق طلب غربی، پلاک130 طبقه دوم",0,0,0,0,0,0,0,1,1,0,0,0,0,2,13:00,24:00:00
لانتی,0,0,2122288140,تهران,‎نياوران, ميدان نياوران پلاك ١٢,0,0,0,0,0,0,0,1,1,0,0,0,0,2,12:00,24:00:00
دیبا (هتل کوروش),0,0,2122903993,تهران,خیابان میرداماد,"خیابان حصاری،نبش کوچه سوم،هتل کوروش",0,0,0,0,0,0,0,1,1,0,1,0,0,3,8:00,24:00:00
سربن,0,0,2122560556,تهران,پاسداران," نبش گلستان دوم، (فلاح زاده)",0,0,0,0,0,0,0,1,1,0,0,1,0,3,6:30,24:00:00
گارنت,0,0,2149927,تهران,اندرزگو," حدفاصل کاوه و قيطريه، نبش خيابان مهر محمدی جنوبی، برج ديانا، طبقات١٠و١١",0,0,0,0,0,0,0,1,1,0,0,0,0,2,12:00,24:00:00
باران,0,0,2122694453,تهران,خیابان نیاوران," خیابان مقدسی( مژده)،خیابان لاریجانی،نبش ظهیرالدوله",0,0,0,0,0,0,0,1,1,0,1,1,0,4,10:00,24:00:00
هتریک,0,0,2188334818,تهران,یوسف آباد," میدان سلماس ، تقاطع فتحی شقاقی و
بیستون پلاک 32",0,0,0,0,0,0,0,1,1,0,0,0,0,2,12:00,24:00:00
بوردیکا,0,0,2186037928,تهران,خیابان کریمخان,"خیابان نجات الهی،خیاباان سپند،تقاطع قرنی،جنب هتل آرام",0,0,0,0,0,0,0,1,0,0,0,0,0,1,12:00,24:00:00
میستری باکس,0,0,9375250154,تهران,حکیمیه,"بلوار بهار،نبش زهدی،پلاک14، طبقه2",0,0,0,0,0,0,0,1,0,0,0,0,0,1,12:00,24:00:00
مون لایت لانژ,0,0,0,تهران,حکیمیه,"بلوار بهار، خیابان بهشت، بهار ۱، پلاک ۳۶",0,0,0,0,0,0,0,1,1,0,0,0,0,2,12:00,24:00:00
توسکافه,0,0,2122242450,تهران,اندرزگو,"سلیمی جنوبی،نبش نعمتی،پلاک ۷۰",0,0,0,0,0,0,0,1,1,0,1,0,0,3,8:30,24:00:00
دل پیانو,0,0,2122381091,تهران,پل  پارک وی,"چمران جنوب خروجی هتل اوین،خیابان شهید سوری،نرسیده به درب ورودی آتی ساز،کوچه بهزاد،پلاک20",0,0,0,0,0,0,0,1,1,0,1,0,0,3,12:00,24:00:00
ریون,0,0,2122112837,تهران,سعادت آباد,"میدان بهرود،خیابان عابدی،نبش کوچه سی ششم پلاک ۱۷",0,0,0,0,0,0,0,1,0,0,0,1,0,2,11:00,24:00:00
مانستر,0,0,0,تهران,میدان تجریش, جنب شمرون کباب,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7:00,24:00:00
اِس,0,0,2177955977,تهران,نارمک,"ضلع شرقی میدان نبوت،نبش کوچه فاطمه الزهرا،پلاک۳۳",0,0,0,0,0,0,0,1,0,0,1,0,0,2,9:00,24:00:00
تلما (ولیعصر),0,0,9199673742,تهران,چهارراه ولیعصر," خیابان خارک، کوچه داوری، پلاک ٣",0,0,0,0,0,0,0,1,0,0,1,0,0,2,9:00,24:00:00
ژانوی,0,0,2140229014,تهران,خيابان شريعتى," بالاتر از پل صدر، نبش كوچه داد (حافظى)، پاساژ الماس، طبقه همكف",0,0,0,0,0,0,0,1,0,0,1,0,0,2,9:00,24:00:00
سی تی پلاس,0,0,9361298909,تهران,شهرک غرب," خیابان ایران زمین، خیابان گلستان جنوبی، جنب بانک ایران زمین، پلاک 9",0,0,0,0,0,0,0,1,1,0,0,0,0,2,9:30,24:00:00
همنشین,0,0,2177224574,تهران,میدان رسالت," خیابان هنگام، سه راه طاهرخانی، نبش کوچه بهار",0,0,0,0,0,0,0,1,0,0,1,0,0,2,9:00,24:00:00
بابا طاهر,0,0,2155381966,تهران, میدان شاپور," بین خیابان طبرستان و بشیری، پلاک۶۴۸",0,0,0,0,0,0,0,1,0,0,0,1,0,2,11:00,24:00:00
سیزده 50,0,0,2122359015,تهران,سعادت آباد,"بالاتر از میدان کاج، بین خیابان عبقری و گلستان دوم",0,0,0,0,0,0,0,1,1,0,0,1,0,3,9:00,24:00:00
دریم لند,0,0,2144978731,تهران,بلوار فردوس شرق," بين خیابان عقيل و حسن آباد،پلاك ٣٦٧",0,0,0,0,0,0,0,1,0,0,0,0,0,1,16:00,24:00:00
بلو بیسترو,0,0,2144000999,تهران,بزرگراه آیت الله کاشانی,نبش خیابان عقیل,0,0,0,0,0,0,0,1,1,0,0,0,0,2,12:00,24:00:00
سماع افلاک,0,0,2144262252,تهران,مرزداران غربی," خیابان ابراهیمی، برج الوند طبقه ۲",0,0,0,0,0,0,0,1,1,0,1,0,0,3,9:00,24:00:00
انگرام,0,0,2188391669,تهران,خیابان فاطمی," خیابان دائمی، خیابان سازمان آب، پلاک ۳۶",0,0,0,0,0,0,0,1,0,0,0,0,0,1,10:30,24:00:00
چیاکو (پاسداران),0,0,2122871020,تهران,پاسداران, نگارستان یکم,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8:00,24:00:00
لنا (تهرانپارس),0,0,2177871000,تهران,تهرانپارس," خیابان گلبرگ، خیابان۱۱۳(صادقی)، نبش خیابان ۱۴۴غربی(ستانی)",0,0,0,0,0,0,0,1,0,0,1,0,0,2,10:00,24:00:00
حیاط نیوا,0,0,2122797883,تهران,پاسداران,"گلستان دوم(فلاح زاده)،پلاک 109",0,0,0,0,0,0,0,1,1,0,1,0,0,3,9:30,24:00:00
رزاموند,0,0,2144820235,تهران,جنت آباد شمالي,"بالا تر از چهار راه ايرانپارس،انتهاي خيابان كوروش شرقي،بالاي فرشگاه كوروش",0,0,0,0,0,0,0,1,0,0,0,0,0,1,12:00,24:00:00
دو فرانس,0,0,2188792038,تهران,خیابان گاندی,"پاساژ گاندی،طبقه اول",0,0,0,0,0,0,0,1,0,0,0,0,0,1,10:00,24:00:00
بی قرار,0,0,9121275796,تهران,مجیدیه شمالی," بلوار کاووسی ( بلوار بیژن )، بالاتر از گلستان دهم، پلاک ۱۳۵",0,0,0,0,0,0,0,1,0,0,0,0,0,1,11:00,24:00:00
گالری فرش,0,0,215538849,تهران,میدان منیریه," خیابان معیری، پلاک 116 و 118",0,0,0,0,0,0,0,1,0,0,1,0,0,2,9:00,24:00:00
کایوتی,0,0,2177538496,تهران,خیابان انقلاب," بین شریعتی و پل‌چوبی، کوچه توانا",0,0,0,0,0,0,0,1,0,0,1,0,0,2,10:00,24:00:00
هل,0,0,2140224257,تهران,فرمانیه," نارنجستان ۷ ، مجتمع تجاری پارک سنتر ، طبقه اول",0,0,0,0,0,0,0,1,0,0,1,0,0,2,16:30,24:00:00
بشکه (ستاری),0,0,9357320021,تهران,اتوبان ستاری," کوروش مال، طبقه همکف واحد ۹",0,0,0,0,0,0,0,1,0,0,0,0,0,1,11:00,24:00:00
هیچ,0,0,2188953370,تهران,بلوار کشاورز," خیابان کبکانیان، پلاک ۵",0,0,0,0,0,0,0,1,0,0,0,0,0,1,10:00,24:00:00
فانتینو,0,0,2122215541,تهران,قیطریه," بلوار اندرزگو، خیابان اشکستان پورجنوبی،پلاک ۸",0,0,0,0,0,0,0,1,1,0,1,0,0,3,8:00,24:00:00
پاتوق (حسینیه ارشاد),0,0,2122251343,تهران,خیابان شریعتی," پایین تر از حسینه ارشاد ، نبش کوچه کامیار",0,0,0,0,0,0,0,1,1,0,0,0,0,2,12:00,24:00:00
نوتلا لند,0,0,2122845143,تهران,خیابان پاسداران, مابین نگارستان ۲ و۳,0,0,0,0,0,0,0,1,1,0,0,0,0,2,12:00,24:00:00
بهدونه,0,0,2188623619,تهران,یوسف آباد, نبش شصت و سوم,0,0,0,0,0,0,0,1,1,0,0,0,0,2,12:00,24:00:00
طلائی,0,0,2122717877,تهران,میدان تجریش," خیابان جلالوند، پ 6",0,0,0,0,0,0,0,1,0,0,0,0,0,1,10:00,24:00:00
سیصد و شصت و پنج,0,0,2126474397,تهران,اختیاریه جنوبی,روبه روی بوستان 22 بهمن,0,0,0,0,0,1,0,1,0,0,1,0,0,3,9:00,24:00:00
مس,0,0,2126116400,تهران,میدان نیاوران(باهنر), ضلع شمالی,0,0,0,0,0,1,0,1,0,0,1,1,0,4,8:30,24:00:00
بیکری گراس,0,0,2122332125,تهران,هروی,"خیابان ساقدوش،انتهای کوچه عدالت",0,0,0,0,0,1,0,1,0,0,1,1,0,4,9:00,24:00:00
باور,0,0,9375738278,تهران,خيابان كريمخان," خيابان عضدى ( آبان )جنوبي خيابان شهيد جعفر شهرى، تماشاخانه سپند",0,0,0,0,0,1,0,1,0,0,0,1,0,3,15:00,24:00:00
والهالا,0,0,2188368920,تهران,‌شهرک غرب,"خیابان سپهر،گلبرگ سوم،انتهای کوچه رضایی غربی",0,0,0,0,0,1,0,1,1,0,0,0,0,3,12:00,24:00:00
طهرون (ایرانشهر),0,0,2188315233,تهران,ایرانشهر, نبش خیابان یگانه,0,0,0,0,0,1,0,1,0,0,1,0,0,3,8:00,24:00:00
حوض کاشی,0,0,2188491389,تهران,خیابان ایرانشهر," خیابان بهشهر، پلاک ۹",0,0,0,0,0,1,0,1,0,0,1,1,0,4,9:00,24:00:00
پل آرت,0,0,2188963222,تهران,فلسطين شمالي,خيابان فيروز دهقان پلاك ٣,0,0,0,0,0,1,0,1,0,0,0,1,0,3,12:00,24:00:00
رویال رز,0,0,9912714132,تهران,نياوران," خیابان محمودی ۳ ، پلاک ۷",0,0,0,0,0,1,0,1,0,0,1,1,0,4,9:00,24:00:00
گروک,0,0,2144368429,تهران,شهران جنوبی," بلوار کوهسار، خیابان فرهنگ، مجتمع کوهسار،بلوکB، واحد تجاری یک",0,0,0,0,0,1,0,1,0,0,1,0,0,3,10:00,24:00:00
طهران قدیم,0,0,2188619635,تهران,شیخ بهایی جنوبی," شهرک والفجر، رو به رو خیابان 9/3، پلاک 1، برج ارغوان",0,0,0,0,0,1,0,1,0,0,1,0,0,3,10:00,24:00:00
سوشه,0,0,2188621517,تهران,میدان ونک," خیابان خدامی، خیابان آفتاب، پلاک 15",0,0,0,0,0,1,0,1,0,0,1,0,0,4,8:30,24:00:00
روشن فکر,0,0,2188699291,تهران,سعادت آباد,"علامه جنوبی،٣٨غربي نبی اکرم،نبش۴۰ غربی،پلاك۱",0,0,0,1,0,0,0,1,0,0,1,1,0,4,12:00,24:00:00
لوی لانژ,0,0,2126118451,تهران,شمال کاخ نیاوران,"ابتدای کاشانک،پلاک۳۸۶",0,0,0,1,0,0,0,1,0,0,0,1,0,3,12:00,24:00:00
اسپیناچ,0,0,2122382637,تهران,سعادت آباد,"بلوار کوهستان، مجتمع اپال طبقه ۵",0,0,0,1,0,0,0,1,1,0,0,0,0,3,9:00,24:00:00
نارین (تهرانپارس),0,0,0,تهران,تهرانپارس," بلوار باقری، فلکه سوم، لاین کندرو، پلاک ۸۴",0,0,0,1,0,0,0,1,0,0,0,0,0,2,12:00,24:00:00
انتظار,0,0,9355685643,تهران,خیابان دولت," چهار راه قنات اول، خیابان آقا میری، جنب بانک پاسارگاد، پلاک 45، طبقه همکف، کلینیک دانیان",0,0,0,1,0,0,0,1,0,0,1,0,0,3,9:00,24:00:00
دل وار,0,0,0,تهران,نياوران, پايين تر از سه راه ياسر,0,0,0,1,0,0,0,1,0,0,0,0,0,2,9:00,24:00:00
سیناک,0,0,2188686007,تهران,سعادت آباد," نبشه کوچه ی سی و دوم، پلاک ۵ ، طبقه ی اول",0,0,0,1,0,1,0,1,1,0,0,0,0,4,12:00,24:00:00
پارلان,0,0,2188009591,تهران,یوسف آباد," خیابان مهرام، جنب شیرینی فروشی بی بی",0,0,0,1,0,0,0,1,0,0,0,0,0,2,9:00,24:00:00
آمانته,0,0,2122431318,تهران,ولنجک,"بلوار دانشجو،پایین تر از میدان یاسمن،پلاک12",0,0,0,1,0,0,0,1,0,0,1,0,0,3,9:00,24:00:00
ژوزک (ولنجک),0,0,2122093205,تهران,ولنجک," بلوار دانشجو، پشت پارک گلریزان، روبروی مرکز خرید ولنجک",0,0,0,1,0,0,0,1,1,0,1,0,0,4,8:00,24:00:00
برازا (مطهری),0,0,2188049332,تهران,خیابان مطهری," خیابان ترکمنستان، نبش بن‌ بست توسکا",0,0,0,1,0,0,0,1,0,0,1,0,0,3,8:30,24:00:00
ژیان(آجودانیه),0,0,2122809919,تهران,آجودانیه,"خیابان پور ابتهاج ، کوچه پوریا ، مجتمع کاج",0,0,0,1,0,0,0,1,0,0,1,0,0,3,8:00,24:00:00
هیرو,0,0,2122082070,تهران,سعادت آباد," میدان بهرود، بلوار شقایق، رو به روی پارک ژوراسیک",0,0,0,1,0,1,0,1,0,0,0,1,0,4,11:30,24:00:00
خان کافه,0,0,2177726529,تهران,فلکه اول تهرانپارس,"انتهای مجتمع تجاری پارس، سمت راست، پلاک 12",0,0,0,1,0,0,0,1,0,0,0,0,0,2,8:00,24:00:00
اسنیک,0,0,2188890251,تهران,خیابان کریمخان,"به سمت میدان ولیعصر،بن بست شاهد",0,0,0,0,1,1,0,1,0,0,1,0,0,4,10:00,24:00:00
عمارت حور,0,0,2166760796,تهران,خيابان حافظ,"نرسيده به بازار موبايل ايران،پلاك ١٧٠و١٧٢",0,0,0,0,1,1,0,1,0,0,0,1,0,4,12:00,24:00:00
نیکی,0,0,2188370800,تهران,شهرک غرب,"بام پاساژ میلادنور،طبقه6،پلاک29",0,0,0,0,1,1,0,1,0,0,1,1,0,5,10:00,24:00:00
رز ایرانی,0,0,9120037231,تهران,دزاشیب,"نجابت جو،نرسیده به نیاوران،پلاک 16",0,0,0,0,1,1,0,1,0,0,0,0,0,3,12:00,24:00:00
نوبو,0,0,2126708017,تهران,زعفرانيه," انتهاي ماكويي پور شمالي، كوچه مسجد",0,0,0,0,1,0,0,1,0,0,1,0,0,3,12:00,24:00:00
دربار,0,0,2188802576,تهران,خیابان سپهبد قرنی,"کوچه امانی، پلاک ۵",0,0,0,0,1,1,0,1,0,0,1,1,0,5,12:00,24:00:00
دلین,0,0,2186044356,تهران,سهروردی شمالی,"بین خیابان بهشتی و مطهری،بین کوچه آزادی و باغ،پلاک ۲۶۴",0,0,0,0,1,1,0,1,0,0,0,0,0,3,11:00,24:00:00
ودود,0,0,2122334700,تهران,میدان هروی," میدان ملت، خیابان ریحانی(محمدی)، روبرو بانک پاسارگاد",0,0,0,1,1,1,0,1,0,0,0,0,0,4,10:00,24:00:00
کلبه فدک,0,0,2177035706,تهران,نارمک," خیابان شهید مدنی، نظام آباد، بالاتر از مترو فدک، نبش کوچه علیجانی 122",0,0,0,1,1,0,0,1,0,0,1,0,0,4,11:00,24:00:00
ب کافه,0,0,2122666970,تهران,محمودیه," خیابان ب، نرسیده به بزرگراه چمران",0,0,0,0,1,1,0,1,0,0,1,1,0,5,8:30,24:00:00
نلسون کلاپ,0,0,2126203563,تهران,خیابان جردن," خیابان ناهید غربی، پلاک 53",0,0,0,1,1,1,0,1,0,0,0,0,0,4,12:00,24:00:00
محفل سنتی سلطانی (دیزی و قلیان),0,0,2144438181,تهران,جنت آباد مرکزی, بن بست یازدهم,0,0,0,0,1,1,0,1,0,0,0,0,0,3,7:00,24:00:00
پارسی,0,0,2188745904,تهران,خیابان بهشتی," خیابان کاووسی فر، پلاک 33، طبقه 2",0,0,0,1,1,1,0,1,0,0,1,0,0,5,10:00,24:00:00
سلاطین,0,0,2122210900,تهران,فرمانيه," خيابان لواساني ، روبروي خيابان اقايي ،جنب موسسه كوثر",0,0,0,1,1,1,0,1,0,0,0,0,0,4,11:00,24:00:00
بوکالانج,0,0,2122751198,تهران,نياوران," انتهاي خيابان مقدسي ، خيابان عرفاني ، خيابان همايون ، كوچه مريم ، كوچه صادقي ، انتهاي كوچه پلاك ٤٨",0,0,0,0,1,1,0,1,1,0,1,0,0,5,12:00,24:00:00
قلیان سرای حنان,0,0,2166881730,تهران,خیابان رودکی," بالاتر از تقاطع امام خمینی، پلاک ۲۸۸",0,0,0,0,1,1,0,1,0,0,0,0,0,3,10:00,24:00:00
لِوی,0,0,21888616551,تهران,برج آ اس پ,"راهروی طبقه همکف،پلاک66",0,0,0,1,0,1,1,1,0,0,1,0,0,5,10:00,24:00:00
بل,0,0,2122078497,تهران,سعادت آباد,"پایین تر از میدان بهرود،جنب مرکز خرید پرواز",0,0,0,0,1,1,1,1,0,0,0,1,0,5,17:00,24:00:00
عمارت تراس,0,0,9129649818,تهران,میدان هفت حوض," خ آیت شمالی، مجتمع تجاری امرالد استار، طبقه دوم",0,0,0,0,1,0,1,1,0,0,0,0,0,3,12:00,24:00:00
مکتب قهوه,0,0,9100019973,تهران,نیاوران," سه راه یاسر، انتهای صادقی قمی،
ابتدای خلیلی ،مجتمع پارسیان جماران، دهکده ایرانی",0,0,0,0,0,0,1,1,0,0,1,0,0,3,12:00,24:00:00
شبرو,0,0,9127772350,تهران,ایران‌مال," طبقه جی ۲، جنب کتابخانه جندی‌شاپور، شبرو بازار",0,0,0,0,0,0,1,1,0,0,0,0,0,2,11:00,24:00:00
کارزین (فرودگاه مهرآباد),0,0,2144675066,تهران,فرودگاه مهرآباد,ترمینال ۲,0,0,0,0,0,0,1,1,0,0,1,0,0,3,12:00,24:00:00
لامور,0,0,2126359045,تهران,شهرك غرب," روبروى اريكه ايرانيان
خيابان حافظى پلاك ٥٠",0,0,0,0,0,0,1,1,1,0,0,0,0,3,10:30,24:00:00
رومرون,0,0,2188887001,تهران,جردن, بلوار آرش غربی(کنار گذر)٫ پلاک۲۴,0,0,0,0,0,0,1,1,1,0,0,0,0,3,12:00,24:00:00
شار لانژ,0,0,2188878510,تهران,میدان آرژانتین," انتهای خیابان الوند، خیابان اسفراین، نبش اهورا مزدا، طبقه آخر هتل اسکان الوند",0,0,0,0,0,0,1,1,0,0,0,1,0,3,16:00,24:00:00
زی (ارتش),0,0,2122491360,تهران,بزرگراه ارتش,"برج های آتی ساز،برج نرگس،واحد ۶",0,0,0,0,0,0,1,1,1,0,0,1,0,4,12:00,24:00:00
روم رون,0,0,2188887001,تهران,جردن, بلوار آرش غربی٫ پلاک۲۴,0,0,0,0,0,1,1,1,0,0,0,1,0,4,12:00,24:00:00
ماهور (شهرک غرب),0,0,2188071090,تهران,شهرک غرب," بلوار دادمان، ابتدای خیابان درختی، مرکز خرید سپهر، طبقه اول",0,0,0,0,0,0,1,1,0,0,0,0,0,2,11:00,24:00:00
زئوس,0,0,2122148200,تهران,سعادت‌آباد," میدان کاج ، سرو شرقی ، بلوار علامه شمالی ، نبش چهاردهم شرقی",0,0,0,0,0,0,1,1,0,0,0,0,0,2,18:00,24:00:00
کالوشه,0,0,2122129960,تهران,چمران شمال," بعد از پل نیایش ، خیابان سئول ، شهرک سئول ، نبش هشتم شرقی( روبه روی درب غربی باشگاه انقلاب)",0,0,0,1,0,0,1,1,0,0,0,0,0,3,10:00,24:00:00
مانی (گیشا),0,0,2188272823,تهران,گیشا," بین خیابان 10 و 12 ، پلاک 13",0,0,0,1,1,0,1,1,0,0,0,0,0,4,11:00,24:00:00
مدیکو,0,0,2186081279,تهران,خیابان ولیعصر," نرسیده به توانیر ، نبش کوچه بخشندگار ساختمان مدیکو",0,0,0,1,0,1,1,1,0,0,1,1,0,6,8:00,24:00:00
رویال گلکسی,0,0,2186125583,تهران,سهروردی شمالی," پایین‌تر از بهشتی، خیابان میرزای زینالی، پلاک ۴۲",0,0,0,1,0,0,1,1,0,0,0,0,1,4,7:00,24:00:00
کوه نور,0,0,9125260681,تهران,میدان کوهسار,"جاده سولقان،روبه روی سفره خانه ماه عسل",0,0,0,0,1,0,1,1,0,0,0,1,1,5,12:00,24:00:00
روچیک,0,0,2188191401,تهران,ونك,"خيابان خدامى،روبروى هتل هما",0,0,0,0,1,0,1,1,0,0,0,0,1,4,13:00,24:00:00
رولکس لانژ,0,0,9395408127,تهران,آجودانیه,مجتمع  تجاری عرش,0,0,0,1,1,1,1,1,0,0,0,1,1,7,12:00,24:00:00
واریو,0,0,2177732149,تهران,تهرانپارس,"خیابان دماوند، نبش خیابان مهرنامی، پلاک ۲۸۷/۱",0,0,0,0,0,0,0,1,0,0,0,0,1,2,12:00,24:00:00
هشت بهشت,0,0,2144201855,تهران,ستارخان," فلکه اول صادقیه، پاساژ پردیس، طبقه دوم",0,0,0,0,0,1,0,1,1,0,0,1,1,5,11:00,24:00:00
پایپار,0,0,2144675059,تهران,غرب به شرق شیخ فضل الله نوری,"بعد از ستاری،خروجی شهرک آپادانا،شمال شرقی میدان برادران محمدی",0,0,0,0,1,1,1,1,0,0,0,1,1,6,10:00,24:00:00
ماهد,0,0,2122383766,تهران,شهرک غرب," بلوار درختی، خ حافظی نرسیده به یادگار امام، پلاک١۴۵",0,0,0,0,0,1,0,1,0,0,0,0,1,3,12:00,24:00:00
ریزوتو (زعفرانیه),0,0,2122180851,تهران,زعفرانیه," میدان اعجازی، بلوار بهزادی، بن بست بهار",0,0,0,1,0,0,1,1,0,0,1,0,1,5,11:00,24:00:00
شادان,0,0,2144037941,تهران,صادقیه," بلوار فردوس شرق، ابتدای گلستان شمالی پلاک 4",0,0,0,1,1,0,0,1,1,0,0,0,1,5,12:00,24:00:00
سینوول,0,0,2188224569,تهران,بلوار نلسون ماندلا," خیابان آرش غربی، جنب نوول لانژ، کافه سینوول",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9:00,24:00:00
کافه ژین,0,0,2188552072,تهران,یوسف آباد,"خیابان اسدآبادی، خیابان هجدهم، پلاک 27/29",0,0,0,1,0,0,0,0,0,0,0,0,0,1,7:30,24:00:00
کافه رستوران شهران,0,0,2144332838,تهران,شهران," بین فلکه اول و دوم رو به روی بانک سپه، رستوران شهران",0,0,0,0,1,0,0,0,0,0,0,0,0,1,11:00,24:00:00
کافه خانه سبو,0,0,9907469565,تهران,خیابان نوفل لوشاتو," کوچه هانری کوبن، نبش صائب پلاک ۵",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14:00,24:00:00
بهارک( دسرک),0,0,2188973704,تهران,میدان فاطمی," خیابان شهید گمنام، ابتدای جهانمهر، پلاک ۲۱",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8:30,24:00:00
کافه مارکت,0,0,2188802111,تهران,میدان ولیعصر," ضلع شمال شرقی میدان، جنب بانک سپه",0,0,0,0,0,0,0,0,1,0,0,0,0,1,6:45,24:00:00
