name,nameEN,city,rate,address,phone,time,quality_rate,service_rate,w_to_p_ratio,decor_rate,features
کافه مارکت,coffeeshops,tehran,0,میدان ولیعصر، ضلع شمال شرقی میدان، جنب بانک سپه,02188802111,6:45,0, 0,0,0,['ارسال رایگان (Delivery)']
نان جم,coffeeshops,tehran,0,یوسف آباد، خیابان اسد آبادی بین 19 و 21,02188104715,6,0, 0,0,0,[]
ناتور,coffeeshops,tehran,8.1,کریم خان زند، خیابان آبان جنوبی، پلاک 38، طبقه همکف,02188919862,8,1, 1,1,1,[]
نامبر 6,coffeeshops,tehran,0,فرشته، خیابان مریم شرقی، خیابان امین، مجتمع smp,9396666919,12,0, 0,0,0,"['قلیان', 'چشم انداز']"
سوییت آنجل,coffeeshops,tehran,0,خیابان شریعتی، دوراهی قلهک، خیابان بصیری، پلاک 19,02122000189,8,0, 0,0,0,[]
رویال گلکسی,coffeeshops,tehran,0,سهروردی شمالی، پایین‌تر از بهشتی، خیابان میرزای زینالی، پلاک ۴۲,02186125583,7,0, 0,0,0,"['موسیقی زنده', 'پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
ایده کونفه,coffeeshops,tehran,8.1,کریمخان- خیابان سنایی- خیابان 18- پلاک28,02188349691,8:30-23,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
مدائن,coffeeshops,tehran,8.4,خیابان ظفر شرقی، خیابان فرید افشار، بلوار آرش شرقی، پلاک ۴۴,02122252420,10-23:30,4, 4,4,3,"['پارکینگ', 'قلیان', 'چشم انداز']"
کافه و رستوران هتل اورین,coffeeshops,tehran,8.3,میدان انقلاب، ابتدای کارگرشمالی، کوچه مجد، پلاک 12,02166591059,7,4, 4,4,4,"['فضای باز', 'اینترنت رایگان']"
بلینسکی,coffeeshops,tehran,8.5,کریمخان،ابتدای خیابان ماهشهر،پلاک ۱۱۸,02186072171,9-24,5, 5,5,5,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کافه رستوران بارمان,coffeeshops,tehran,,فرمانیه، خیابان لواسانی، مابین آقایی و وطن پور، پلاک 152,02122202929,10:30,0, 0,0,0,['دستگاه کارت خوان']
بیت بیسترو,coffeeshops,tehran,7.9,خيابان مطهري،خيابان لارستان،نبش كوچه پور فلاح,02188890341,7-21,5, 5,4,5,"['موسیقی زنده', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
راک,coffeeshops,tehran,8.4,شهرک غرب، بلوار دریا، خیابان گلها، نبش توحید 3،پلاک 10,02188369196,9-24,4, 4,4,4,"['صبحانه', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
سوییت بلیس (نیاوران),coffeeshops,tehran,9.1,نیاوران بین پمپ بنزین و جماران نبش کوچه ستایش,02122825016,9-23,3, 4,3,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
چیمنی (پاسداران),coffeeshops,tehran,7.6,خیابان پاسداران ، بین گلستان 8و9,02122579490,11-24,4, 4,3,3,['دستگاه کارت خوان']
شمرون (شهرک غرب),coffeeshops,tehran,7.4,شهرك غرب،خيابان ايران زمين شمالى،رو به روى بيمارستان بهمن،جنب فرهنگسراى ابن سينا,02188570359,9-24,3, 4,4,3,"['سیگار', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
گل لیان,coffeeshops,tehran,8.4,جردن، ناهید غربی، پلاک 14/1,9352865054,24-7,5, 5,5,5,[]
بام ری,coffeeshops,tehran,8,خیابان فداییان اسلام صدمتر مانده به میدان اصلی شهرری,02155967000,11-23:30,4, 4,4,4,"['فضای باز', 'اینترنت رایگان', 'چشم انداز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
آوانی,coffeeshops,tehran,8.9,خیابان یوسف آباد ، بین خیابان 62 و 64,02188615560,12-23,8, 4,4,4,"['سیگار', 'فضای باز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
نوشه,coffeeshops,tehran,6,گیشا، انتهای علیایی غربی، دست راست جوادی،پلاک 55,02188267666,7-24,4, 4,4,4,"['موسیقی زنده', 'سیگار', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
شمرون (بام لند),coffeeshops,tehran,7.1,انتهاى همت غرب ابتداى اتوبان خرازى خروجى درياچه ميدان موج خيابان موج،بلوار صدف،مجموعه تجارى بام لند,02140447341,8-24,3, 2,4,2,"['پارکینگ', 'فضای باز', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
ویونا (بازار قائم),coffeeshops,tehran,7.3,تجریش ، بلوار شهرداری،کوچه زعیم ، بازار قائم ، طبقه پنجم ، پلاک 2176,02122721688,9:30-22,4, 4,4,5,"['صبحانه', 'پارکینگ', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
دانته,coffeeshops,tehran,7.7,خيابان يوسف اباد نبش كوچه ١٢ پلاك ١٢٢ ، طبقه ٥,02186046472,9-24,3, 4,4,3,"['صبحانه', 'پارکینگ', 'سیگار', 'قلیان', 'اینترنت رایگان', 'چشم انداز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
آلموند,coffeeshops,tehran,7.8,يوسف اباد خيابان ٦٤ بعد از پل كردستان مجتمع asp واحد تجاري ١٠,02188603988,9:30-23:30,4, 4,4,4,"['صبحانه', 'پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
پارپیرار,coffeeshops,tehran,7.4,تهرانپارس،خیابان ۱۸۲شرقی،نرسیده به ۱۳۱,02177350876,10-24,4, 4,4,4,"['صبحانه', 'موسیقی زنده', 'سیگار', 'سالاد بار', 'قلیان', 'چشم انداز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
آوا پلاس,coffeeshops,tehran,7.9,نياوران،بعد از سه راه ياسر به سمت تجريش، پلاك250,02122728797,9-24,5, 5,4,5,"['صبحانه', 'موسیقی زنده', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ایزار,coffeeshops,tehran,6,باغ کتاب تهران، طبقه دوم,9304444808,10-24,4, 4,4,3,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کاپیتان لانژ,coffeeshops,tehran,7.8,خیابان پاسداران، بین نگارستان نهم و دهم,09028888393,12:30-24,3, 3,4,3,"['موسیقی زنده', 'پارکینگ', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
قنادی ناتلی,coffeeshops,tehran,8.6,خیابان سهروردی شمالی، بالاتر از خیابان آپادانا، نبش خیابان توپچی، شماره 655,02187109107,9-22,4, 4,3,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
بوریتو,coffeeshops,tehran,8,خیابان سهروردی شمالی، خیابان خرمشهر(آپادانا)، پلاک 172,02188522121,9-24,3, 4,4,3,"['صبحانه', 'فضای باز', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
سیصد و شصت و پنج,coffeeshops,tehran,,اختیاریه جنوبی،روبه روی بوستان 22 بهمن,02126474397,9-24,0, 0,0,0,"['صبحانه', 'سیگار', 'دستگاه کارت خوان']"
سیزده,coffeeshops,tehran,,فلسطین شمالی،نرسیده به بلوار کشاورز،پلاک431,02188914292,8-24,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
دو هشت,coffeeshops,tehran,,انقلاب،فخررازی،پلاک۳۷,09025369618,11-22,0, 0,0,0,['دستگاه کارت خوان']
سورا,coffeeshops,tehran,,شیخ فضل الله جنوب،خیابان سازمان آب،بعد از چهارراه اول، روبروی پارک شاهین,02144927217,12-23,0, 0,0,0,"['صبحانه', 'سیگار', 'فضای باز', 'دستگاه کارت خوان']"
مس,coffeeshops,tehran,,میدان نیاوران(باهنر) ، ضلع شمالی,02126116400,8:30-24,0, 0,0,0,"['صبحانه', 'سیگار', 'فضای باز', 'دستگاه کارت خوان']"
کلاویه,coffeeshops,tehran,,گاندی جنوبی، مرکز‌ خرید گاندی ، پلاک‌۱۶,02188882974,12-23,0, 0,0,0,"['فضای باز', 'دستگاه کارت خوان']"
کرسندو,coffeeshops,tehran,8.1,جردن،کوچه یزدان پناه،نبش دبیر,02188776866,7-24,4, 5,5,5,"['صبحانه', 'دستگاه کارت خوان']"
طهرونچی,coffeeshops,tehran,,"‏‎ميدان ونک، ابتدای خیابان ونک, پلاک 3",02188792956,8-23:15,0, 0,0,0,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
اینساید,coffeeshops,tehran,,فرشته، مريم غربي،كوئين سنتر,02122661143,10-24,0, 0,0,0,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
اسنیک,coffeeshops,tehran,,خیابان کریمخان،به سمت میدان ولیعصر،بن بست شاهد,02188890251,10-24,0, 0,0,0,"['صبحانه', 'سیگار', 'قلیان', 'دستگاه کارت خوان']"
هوبو لانژ,coffeeshops,tehran,,بلوار سعادت آباد،نبش کوچه حق طلب،ساختمان تهران پاریس,09190054735,14-24,0, 0,0,0,['دستگاه کارت خوان']
آریا,coffeeshops,tehran,,‏‎جنت آباد مركزي،روبروي برج طوبي,02144452755,11-23:30,0, 0,0,0,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
همرا,coffeeshops,tehran,,"پاسداران، خیابان ناطق نوری، میدان‌قبا، ضلع
شمالی ساختمان فرهنگسرا، جنب‌پارک زمرد",02122893990,12-23:30,0, 0,0,0,['دستگاه کارت خوان']
هرما,coffeeshops,tehran,,کنارگذر کریمخان(به سمت هفت‌تیر)٫ بین قرنی و ایرانشهر٫ پلاک۱۹۰,09122369902,10-23:30,0, 0,0,0,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
لِوی,coffeeshops,tehran,,برج آ اس پ،راهروی طبقه همکف،پلاک66,021888616551,10-24,0, 0,0,0,"['صبحانه', 'پارکینگ', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
عمارت حور,coffeeshops,tehran,,خيابان حافظ،نرسيده به بازار موبايل ايران،پلاك ١٧٠و١٧٢,02166760796,12-24,0, 0,0,0,"['سیگار', 'قلیان', 'فضای باز', 'دستگاه کارت خوان']"
روشن فکر,coffeeshops,tehran,,سعادت آباد،علامه جنوبی،٣٨غربي نبی اکرم،نبش۴۰ غربی،پلاك۱,02188699291,12-24,0, 0,0,0,"['صبحانه', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
نیکی,coffeeshops,tehran,,شهرک غرب،بام پاساژ میلادنور،طبقه6،پلاک29,02188370800,10-24,0, 0,0,0,"['صبحانه', 'سیگار', 'قلیان', 'فضای باز', 'دستگاه کارت خوان']"
مارون بار,coffeeshops,tehran,,خیابان اشرفی‌اصفهانی، خیابان پیامبر‌شرقی، پلاک ۴۷,02144973474,11-24,0, 0,0,0,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ماشا,coffeeshops,tehran,,بزرگراه شهید چمران،تقاطع یادگار امام،هتل پارسیلن اوین,09029063234,10:00-4:00,0, 0,0,0,"['صبحانه', 'پارکینگ', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
اودسا,coffeeshops,tehran,7.5,چهارراه سرسبز ، خیابان آیت شمالی ، پلاک 856,02177228047,12-24,0, 0,0,0,"['فضای باز', 'دستگاه کارت خوان']"
دلیت,coffeeshops,tehran,,شهرک غرب،بلوارفرحزادی،بلوار نورانی،پلاک52,02188373032,12:30-23,0, 0,0,0,"['فضای باز', 'دستگاه کارت خوان']"
مستقل,coffeeshops,tehran,,خردمند شمالی،کوچه دهم،پلاک ۹,02188313639,12-23,0, 0,0,0,"['سیگار', 'فضای باز', 'دستگاه کارت خوان']"
رز ایرانی,coffeeshops,tehran,,دزاشیب،نجابت جو،نرسیده به نیاوران،پلاک 16,09120037231,12-24,0, 0,0,0,"['سیگار', 'قلیان', 'دستگاه کارت خوان']"
بل,coffeeshops,tehran,,سعادت آباد،پایین تر از میدان بهرود،جنب مرکز خرید پرواز,02122078497,17-24,0, 0,0,0,"['پارکینگ', 'سیگار', 'قلیان', 'فضای باز', 'دستگاه کارت خوان']"
عمارت تراس,coffeeshops,tehran,,میدان هفت حوض، خ آیت شمالی، مجتمع تجاری امرالد استار، طبقه دوم,09129649818,12-24,0, 0,0,0,"['پارکینگ', 'قلیان', 'دستگاه کارت خوان']"
آلندا,coffeeshops,tehran,,خیابان ايرانشهر، خیابان آذرشهر، پلاک ۲۸,02188312958,9-23,0, 0,0,0,"['صبحانه', 'موسیقی زنده', 'دستگاه کارت خوان']"
نوبو,coffeeshops,tehran,,زعفرانيه، انتهاي ماكويي پور شمالي، كوچه مسجد,02126708017,12-24,0, 0,0,0,"['صبحانه', 'قلیان', 'دستگاه کارت خوان']"
گروسی,coffeeshops,tehran,,پاسداران، تقاطع گیلان و فرخی‌یزدی‌,02122883400,12-23:45,0, 0,0,0,"['پارکینگ', 'دستگاه کارت خوان']"
فیشرآباد,coffeeshops,tehran,,فیشرآباد(قرنی)،نبش خسرو(دهقانی‌نیا),02141969444,8:30-22,0, 0,0,0,"['فضای باز', 'دستگاه کارت خوان']"
روتا لانژ,coffeeshops,tehran,8.1,میدان ولیعصر، هتل آرامیس، روف روتالانژ,02188801330,10-24,4, 4,5,5,"['سیگار', 'قلیان', 'فضای باز', 'دستگاه کارت خوان']"
راینو (هفت تیر),coffeeshops,tehran,,میدان هفت تیر،هتل مروارید,02188300750,,0, 0,0,0,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
روناک گاردن,coffeeshops,tehran,,نیاوران،خیابان پور ابتهاج،خیابان خداوردی،کوچه آراسته،پلاک19,09104507000,11-22,0, 0,0,0,"['سیگار', 'دستگاه کارت خوان']"
پریسکا,coffeeshops,tehran,,خیابان کریمخان،خیابان سنائی،پلاک50,02188311501,9-24,0, 0,0,0,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
بین الملل,coffeeshops,tehran,,ونک ، ابتدای خیابان ملاصدرا ،خیابان پردیس، شماره19,02188783259,9-23,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
اُدت,coffeeshops,tehran,,پونک، اشرفی اصفهانی جنوب، ورودی آبشناسان غرب، طبقه بالای سرزمین سوخاری,02144872954,10-24,0, 0,0,0,['دستگاه کارت خوان']
کوزی لانژ,coffeeshops,tehran,6.7,ملاصدرا، شیخ بهایی جنوبی، برزیل غربی، پلاک ۱۵۴,02122803557,12-24,0, 0,0,0,['دستگاه کارت خوان']
باکارا (ولیعصر),coffeeshops,tehran,6.7,چهارراه ولیعصر، ضلع شرقی تئاتر شهر، بین رازی و خارک، بن‌ بست انجمن کتاب، پلاک ۱,09373564072,8:30-24,4, 4,4,3,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
فیدار,coffeeshops,tehran,,"آیت اله کاشانی( به سمت صادقیه)،بعد از خروجی ستاری جنوب ، بین ابراهیمی و حسن آباد ،
پلاک ۴۳۰",02144973007,8-22,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
باراز,coffeeshops,tehran,,بلوار مرزداران غربی (بين یادگار امام و اشرفي اصفهاني)، بعد از بانك كشاورزي,02144235719,11-24,0, 0,0,0,"['فضای باز', 'دستگاه کارت خوان']"
سسنیک,coffeeshops,tehran,,خیابان‌ولیعصر، نرسیده به میدان ولیعصر، نبش خیابان فیروزه,02188943444,11-24,0, 0,0,0,['دستگاه کارت خوان']
بناک,coffeeshops,tehran,6.7,امجدیه ، بهارشمالی ، بالاتر از ورزنده ، کوچه مخبرالملک ، پلاک ۴,02188495311,8:30-23:30,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
بیکری گراس,coffeeshops,tehran,,هروی،خیابان ساقدوش،انتهای کوچه عدالت,02122332125,9-24,0, 0,0,0,"['صبحانه', 'سیگار', 'فضای باز', 'دستگاه کارت خوان']"
کلاویه,coffeeshops,tehran,,شهرك غرب،بلوار فرحزادى،خيابان عباسى انارى ،پاساژ آريا -واحد ٨ ‏,09388538731,11-23,0, 0,0,0,['دستگاه کارت خوان']
دربار,coffeeshops,tehran,,خیابان سپهبد قرنی،کوچه امانی، پلاک ۵,02188802576,12-24,0, 0,0,0,"['صبحانه', 'سیگار', 'قلیان', 'فضای باز', 'دستگاه کارت خوان']"
قهوه روتین,coffeeshops,tehran,,‎پاسداران، نبش نیستان دوم,02126711852,10-22,0, 0,0,0,['دستگاه کارت خوان']
لوک,coffeeshops,tehran,,"سعادت آباد ، بالاتر از میدان کاج ، خیابان
هشتم(یعقوبی) ، خیابان مجد ، پلاک ۲۲",02122074794,8-23,0, 0,0,0,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
جیلیز ویلیز (پل رومی),coffeeshops,tehran,,خیابان شریعتی، بعد از پل صدر، نرسیده به پل رومی، پلاک 1786,02135075,11:30-23:30,0, 0,0,0,"['پارکینگ', 'قلیان', 'دستگاه کارت خوان']"
کنج,coffeeshops,tehran,,بلوار کشاورز، خیابان کبکانیان، نبش کوچه ی ۵، پلاک ۱۲,02188961320,11-22,0, 0,0,0,"['فضای باز', 'دستگاه کارت خوان']"
لانژ 12,coffeeshops,tehran,,پاسداران ، پایدارفرد ، بین بوستان چهارم و پنجم ، پلاک ۱۲,02122555100,12-23:30,0, 0,0,0,"['سیگار', 'قلیان', 'فضای باز', 'دستگاه کارت خوان']"
مکتب قهوه,coffeeshops,tehran,,"نیاوران، سه راه یاسر، انتهای صادقی قمی،
ابتدای خلیلی ،مجتمع پارسیان جماران، دهکده ایرانی",9100019973,12-24,0, 0,0,0,"['صبحانه', 'پارکینگ', 'دستگاه کارت خوان']"
کاربن,coffeeshops,tehran,,خیابان کریم خان، خیابان ایرانشهر،کوچه جمیله شیخی ، پلاک ۱۳,02188823246,8-23,0, 0,0,0,"['صبحانه', 'موسیقی زنده', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
زی,coffeeshops,tehran,6.7,انقلاب ، خیابان فلسطین ، خیابان لبافی نژاد قبل از ابوریحان،پلاک ۸۵,09309201040,,3, 4,3,4,"['فضای باز', 'دستگاه کارت خوان']"
برافتو,coffeeshops,tehran,,خیابان ولیعصر، روبروی‌پارک ملت، کوچه انصاری،مجاور پارکینگ برج ملت،پلاک ۸۷,02122038600,11-23,0, 0,0,0,"['فضای باز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
لیدو پلاس,coffeeshops,tehran,6.7,ضلع غربی میدان هفت‌حوض، کوچه عظیمی‌نیا، پلاک ۲۴,02177942336,8-23,4, 3,3,3,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
وانتد,coffeeshops,tehran,,خیابان بهار شمالی٫خیابان ورکش٫پلاک۱۷/۱,02188495477,11-23,0, 0,0,0,"['فضای باز', 'دستگاه کارت خوان']"
ژینرپلاس,coffeeshops,tehran,,خیابان ولیعصر، نرسیده به پارک وی، خیابان قریشی (تورج)، پلاک 26,02122017817,12-23:30,0, 0,0,0,"['پارکینگ', 'دستگاه کارت خوان']"
لوترا,coffeeshops,tehran,,"ولیعصر نرسیده به پارک وی،نبش کوچه خاکزاد
پلاک ۲۸۴۱",02122043063,6-22,0, 0,0,0,['دستگاه کارت خوان']
پنجاه و دو هرتز,coffeeshops,tehran,,پاسداران، خیابان اسلامی، بین گلستان ۱ و ۲,91300656,9-24,0, 0,0,0,['دستگاه کارت خوان']
باور,coffeeshops,tehran,,خيابان كريمخان خيابان عضدى ( آبان )جنوبي خيابان شهيد جعفر شهرى تماشاخانه سپند,09375738278,15-24,0, 0,0,0,"['سیگار', 'فضای باز', 'دستگاه کارت خوان']"
دیورسو,coffeeshops,tehran,3.8,میدان هروی، مجتمع تجاری الماس هروی، طبقه دوم,02122976568,12-23,3, 4,5,3,"['پارکینگ', 'فضای باز', 'دستگاه کارت خوان']"
اینترنی (شهرک غرب),coffeeshops,tehran,6.7,شهرک غرب، پاساژ گلستان، نبش ورودی مهستان,09101115155,12-24,4, 4,4,4,"['پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
دییر فکتوری,coffeeshops,tehran,,خیابان انقلاب،جنب خیابان آذرنوش،پلاک549,02188816378,7:30-23,0, 0,0,0,['دستگاه کارت خوان']
بلک باکس,coffeeshops,tehran,,کریمخان،ایرانشهر،کوچه استاد سمندریان،پلاک ۳۰,02188815018,12-23:30,0, 0,0,0,['دستگاه کارت خوان']
دلین,coffeeshops,tehran,,سهروردی شمالی،بین خیابان بهشتی و مطهری،بین کوچه آزادی و باغ،پلاک ۲۶۴,02186044356,11-24,0, 0,0,0,"['سیگار', 'قلیان', 'دستگاه کارت خوان']"
لامینر لانژ,coffeeshops,tehran,5.2,شهرك اكباتان،فاز٢،مجتمع تجارى مگامال،تراس طبقه دوم,09034445023,10-23,0, 0,0,0,"['صبحانه', 'پارکینگ', 'فضای باز', 'دستگاه کارت خوان']"
ریوا,coffeeshops,tehran,,شهرک غرب،مجتمع تجاری پلاتین،طبقه اول,02186091051,11-23,0, 0,0,0,"['سیگار', 'فضای باز', 'دستگاه کارت خوان']"
ام,coffeeshops,tehran,,فرشته، خیابان آقابزرگی، پلاک 21,02126372792,11-23,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
لوکادونات (نیاوران),coffeeshops,tehran,,نیاوران،مژده. میری،عرفانی،پلاک ۱۷,91091009,7:30-23,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
لوکادونات (فرشته),coffeeshops,tehran,,فرشته. بوسنی هرزگوین. مجتمع تجاری مینیاتور. واحد ١,91091009,10-21,0, 0,0,0,"['پارکینگ', 'دستگاه کارت خوان']"
لوکادونات (سعادت آباد),coffeeshops,tehran,,‎سعادت آباد، پایین تر از ميدان فرهنگ، پلاك٣٧,91091009,8-23,0, 0,0,0,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کوه نور,coffeeshops,tehran,,میدان کوهسار،جاده سولقان،روبه روی سفره خانه ماه عسل,09125260681,12-24,0, 0,0,0,"['موسیقی زنده', 'پارکینگ', 'قلیان', 'فضای باز', 'دستگاه کارت خوان']"
والهالا,coffeeshops,tehran,,‌شهرک غرب،خیابان سپهر،گلبرگ سوم،انتهای کوچه رضایی غربی,02188368920,12-24,0, 0,0,0,"['سیگار', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
قهوه خان,coffeeshops,tehran,,نیاوران،خیابان پور ابتهاج،نبش خیابان محمدی,02126117154,7:30-22:30,0, 0,0,0,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
شقایق,coffeeshops,tehran,,امیر آباد ، نبش کوچه ۱۴، مجتمع تجاری احسان، طبقه یک,09127230048,11-22,0, 0,0,0,"['صبحانه', 'قلیان', 'دستگاه کارت خوان']"
لوندر (فرشته),coffeeshops,tehran,,فرشته، خیابان بوسنی هرزگوین، خیابان دکتر حسابی، پلاک ۱۳/۱,02122394251,7:30-22,0, 0,0,0,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
فیلم کلاسیک,coffeeshops,tehran,7.4,خیابان سمیه، تقاطع نجات الهی پلاک 254,02188851374,10,4, 4,4,4,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
رامان,coffeeshops,tehran,,یادگارامام جنوب،فرحزاد شمالی،رو به روی نمایندگی سایپا پلاک ۲۵,02122114976,11:30-23:30,0, 0,0,0,['دستگاه کارت خوان']
روچیک,coffeeshops,tehran,,ونك،خيابان خدامى،روبروى هتل هما,02188191401,13-24,0, 0,0,0,"['موسیقی زنده', 'پارکینگ', 'قلیان', 'دستگاه کارت خوان']"
خونه البرز,coffeeshops,tehran,,خیابان انقلاب،زیر پل کالج،کوچه البرز ۲ انتهای البرز ۱ پلاک ۳۲,09123104263,9-23:30,0, 0,0,0,"['صبحانه', 'سیگار', 'فضای باز', 'دستگاه کارت خوان']"
هفت (هفت تیر),coffeeshops,tehran,,میدان هفت‌تیر، خیابان کریمخان زند، خردمندجنوبی,02188811224,8-24,0, 0,0,0,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
شبرو,coffeeshops,tehran,,ایران‌مال، طبقه جی ۲، جنب کتابخانه جندی‌شاپور، شبرو بازار,09127772350,11-24,0, 0,0,0,"['پارکینگ', 'دستگاه کارت خوان']"
برانچ تو,coffeeshops,tehran,,میرعماد،کوچه دوم،پلاک22,02122144905,8-23,0, 0,0,0,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
برسین,coffeeshops,tehran,,شهرک غرب،میدان صنعت،ابتدای خیابان ایران زمین،پلاک7,02188577119,7:30-23:30,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
